ground_truth_acuity,ground_truth_pain,count
1,0.0,18
1,5.0,7
1,3.0,5
1,13.0,4
1,6.0,3
1,10.0,2
1,7.0,2
1,9.0,2
1,8.0,2
2,0.0,111
2,8.0,13
2,10.0,13
2,5.0,12
2,4.0,10
2,2.0,9
2,13.0,9
2,7.0,6
2,9.0,5
2,3.0,5
2,6.0,4
2,1.0,2
3,0.0,83
3,8.0,39
3,10.0,33
3,5.0,25
3,7.0,23
3,6.0,23
3,9.0,18
3,4.0,12
3,3.0,10
3,13.0,8
3,2.0,6
3,1.0,2
4,0.0,26
4,10.0,20
4,7.0,10
4,9.0,10
4,8.0,8
4,6.0,4
4,5.0,3
4,1.0,3
4,3.0,3
4,4.0,2
4,13.0,2
4,2.0,1
5,0.0,45
5,8.0,6
5,5.0,4
5,7.0,4
5,10.0,4
5,6.0,2
5,13.0,2
5,2.0,2
5,3.0,1
