ground_truth_acuity,specialisation,count
1,NEU,11
1,RES,10
1,GAS,5
1,TRA,5
1,GEN,5
1,CAR,3
1,GyU,2
1,DER,1
1,PSY,1
1,MSK,1
1,ENT,1
2,RES,39
2,GAS,36
2,CAR,33
2,GEN,22
2,PSY,19
2,NEU,19
2,TRA,15
2,MSK,5
2,GyU,5
2,DER,4
2,ENT,2
3,GAS,90
3,GEN,46
3,MSK,43
3,TRA,21
3,NEU,19
3,DER,14
3,GyU,11
3,CAR,10
3,PSY,10
3,RES,9
3,ENT,9
4,MSK,49
4,GEN,12
4,PSY,8
4,ENT,7
4,TRA,6
4,DER,5
4,GAS,2
4,GyU,2
4,NEU,1
5,GEN,31
5,MSK,15
5,PSY,12
5,DER,4
5,GyU,2
5,TRA,2
5,CAR,2
5,RES,2
